Product Name1,SKU,Product Name2,Image URLs,Product Information,product_features,Specifications,Downloads,URL
CutSkill Regulator Flowmeter 30 LPM (Side Inlet),201031,,https://www.cigweld.com.au/wp-content/uploads/2018/05/201031-Side-1.jpg,"<div class=""typography"">
	<p>The CutSkill Side Inlet Regulator Flowermeter provides accurate indication of flow rate of shielding gases for MIG and TIG welding processes. The Regulator/Flowmeters have been designed for TIG processes and for MIG, Short Arc and Spray Arc applications and are calibrated for O to 30 lpm.</p>
<p>The metering ball is stainless steel. They are constructed with a machined brass body and cap, are back pressure compensated and have a self-reseating relief valve – not designed to protect down stream equipment.</p>
<ul>
<li>Maximum 30 LPM Flow Rate</li>
<li>Maximum Inlet Pressure 20,000kPa</li>
<li>Robust brass body and fittings</li>
<li>Failsafe against over pressure</li>
</ul>
<h4>Calibrated flow rates at 345 kPa inlet pressure.</h4>
<ul>
<li>0 to 30 lpm (Vertical / Side Inlet)</li>
<li>Inlet connection 5/8” BSP – 18 Type 10</li>
<li>Outlet connection 5/8” – 18 UNF – RH</li>
</ul>
</div>",,,CutSkill Flowmeter 40 LPM (https://www.cigweld.com.au/wp-content/uploads/2018/05/2018-CIGWELD-CutSkill-Brochure.pdf),https://www.cigweld.com.au/product/cutskill-regulator-flowmeter-30-lpm-side-inlet/
CIGWELD Hoodie,,,"https://www.cigweld.com.au/wp-content/uploads/2018/10/CIGHOOD-2.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/10/CIGHOOD2-1.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/10/CIGHOOD3.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/10/CIGHOOD4.jpg","<div class=""typography"">
	<h3>Please note: CIGWELD Hoodies are now Navy not Black</h3>
<p>Our CIGWELD Hoodies are a must-have item! Throw it over your work gear, keep warm in the shed or wear it out. It’s perfect for all seasons.</p>
<ul>
<li>Kangaroo pouch pockets</li>
<li>Metal eyelets on hood to reinforce drawstring holes</li>
<li>Ribbed knit fabric on waist &amp; cuffs</li>
<li>Perfect for all Seasons</li>
<li>Washer and dryer safe</li>
<li>Sizes available: S, M, L, XL, XXL, XXXL</li>
</ul>
</div>",,,,https://www.cigweld.com.au/product/cigweld-hoodie/
ESAB 304/004 Style Drive System Aluminium Kit,W6001200,,,"<div class=""typography"">
	<p>ESAB 304/3004 Style Drive System Aluminium Kit</p>
<h4>Contents:</h4>
<ul>
<li>0458824002 – 4 – Feed roll 1.0/1.2A2 U-G</li>
<li>0456615001 – 1 – Intermediate Nozzle Al</li>
<li>0469837881 – 1 – Outlet nozzle AL 2.0 EURO</li>
<li>0700025819 – 1 – 1.0-1.2, red 3m liner (for PSF 315, 420W, 415, 520W, 515)</li>
<li>0460819001 – 5 – Tip Adptr M8 PSF 405/410W PSF (5EA=1PK)</li>
<li>0468502008 – 10 – ConTip CuCrZr w1.4H 1.7mmM8x37 (10EA=1PK)</li>
</ul>
</div>",,,,https://www.cigweld.com.au/product/esab-304-004-style-drive-system-aluminium-kit/
WeldSkill Magnetic Work Clamp/Holder – Medium,646764,,https://www.cigweld.com.au/wp-content/uploads/2020/02/646764-Weldskill-Magnetic-Clamp_Holder_Med-scaled.jpg,"<div class=""typography"">
	<p style=""text-align: left;"">Our WeldSkill Magnetic Work Clamps are the ideal accessory when welding and cutting. Easily keep your workpiece in place with up to 22kg holding capacity!</p>
<p style=""text-align: left;"">Also available in <a href=""https://www.cigweld.com.au/product/weldskill-magnetic-work-clamp-holder-large/"">Large (P/N: 646765)</a></p>
<p style=""text-align: left;""><img decoding=""async"" class="" wp-image-16120 aligncenter"" src=""https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles-300x84.jpg"" alt=""WeldSkill Magnetic Work Clamps Medium"" width=""439"" height=""123"" srcset=""https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles-300x84.jpg 300w, https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles-1024x286.jpg 1024w, https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles-768x215.jpg 768w, https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles-1200x335.jpg 1200w, https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles-874x244.jpg 874w, https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles-180x50.jpg 180w, https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles-600x168.jpg 600w, https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles-190x53.jpg 190w, https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles-322x90.jpg 322w, https://www.cigweld.com.au/wp-content/uploads/2020/02/Clamp-angles.jpg 1277w"" sizes=""(max-width: 439px) 100vw, 439px""></p>
<p style=""text-align: left;""><strong>Multi-Angle – </strong>Allows you to hold your metal workpieces in place at various angles while welding.</p>
<p style=""text-align: left;""><strong>Arrow Shape – </strong>Will hold both sheet and tube at angles of 45° / 90° / 135°.</p>
<p style=""text-align: left;""><strong>Strong Magnetic Hold – </strong>This strong magnet secures ferrous metals (such as steel) in place – allowing you to keep both your hands free for welding accuracy.</p>
<p style=""text-align: left;""><strong>Holding Capacity – </strong>Holds 22kg.</p>
<p style=""text-align: left;""><strong>Durability – </strong>These holders are highly durable and made of heavy duty construction for years of use.</p>
<p style=""text-align: left;""><strong>Ideal for use with: </strong>Mild Steel – Welding, Soldering, Assembly, Pipe installation, Marking off, Floater, Hanging Applications etc.</p>
<h5 style=""text-align: left;"">WARNING</h5>
<h5 style=""text-align: left;"">Magnet must be removed immediately after use. Magnets are susceptible to extreme heat. Please always use a glove to remove and manoeuvre magnets.</h5>
<h5 style=""text-align: left;"">NOTE: Magnets do not work with non-ferrous metals such as Aluminium, Copper, Brass, Stainless Steel etc.</h5>
</div>",,,Magnetic Clamp Brochure (https://www.cigweld.com.au/wp-content/uploads/2020/02/Magnetic-Clamp-Brochure.pdf),https://www.cigweld.com.au/product/weldskill-magnetic-work-clamp-holder-medium/
"Tungsten 3T Rare Earth (purple) 2.4mm, 2pcs/pack",699860,,https://www.cigweld.com.au/wp-content/uploads/2020/11/3t-Tungsten-2pack.jpg,"<div class=""typography"">
	<p>CIGWELD’s revamped range of TIG Tungsten electrodes now include Rare Earth and Zirconiated Tungstens with standard lengths of 175mm with 1.6mm, 2.4mm and 3.2mm diameters.</p>
<p>The TIG Tungsten electrodes are suitable AC/DC TIG welding (3T Rare Earth) and AC TIG Welding (Zirconiated).</p>
<h4>Features:</h4>
<ul>
<li>Suitable for AC &amp; DC TIG Welding</li>
<li>Excellent ignition characteristics and consistent welding properties</li>
<li>Long service life compared to thoriated electrodes</li>
<li>Non radioactive to improve health and safety for operator and environment</li>
</ul>
<p>Available in 2 pack or 10 pack.</p>
<h4>Variations:</h4>
<p class=""xmsonormal""><span style=""color: black;"">699861 |</span><span style=""color: black;"">Tungsten 3T Rare Earth (purple) 1.6mm, 10pcs/pack </span></p>
<p class=""xmsonormal""><span style=""color: black;"">699862 | </span><span style=""color: black;"">Tungsten 3T Rare Earth (purple) 2.4mm, 10pcs/pack</span></p>
<p class=""xmsonormal""><span style=""color: black;"">699863 |</span><span style=""color: black;"">Tungsten 3T Rare Earth (purple) 3.2mm, 10pcs/pack</span></p>
<p class=""xmsonormal""><span style=""color: black;"">699859 | </span><span style=""color: black;"">Tungsten 3T Rare Earth (purple) 1.6mm, 2pcs/pack</span></p>
<p class=""xmsonormal""><span style=""color: black;"">699860 | </span><span style=""color: black;"">Tungsten 3T Rare Earth (purple) 2.4mm, 2pcs/pack</span></p>
</div>",,,Tig Tungsten Brochure (https://www.cigweld.com.au/wp-content/uploads/2020/11/Tig-Tunsten-Brochure.pdf),https://www.cigweld.com.au/product/tungsten-3t-rare-earth-purple-2-4mm-2pcs-pack/
Metal Cor 3,722909,,"https://www.cigweld.com.au/wp-content/uploads/2023/12/Mild-Steel-with-box-1.png,https://www.cigweld.com.au/wp-content/uploads/2023/12/Mild-Steel-Wire-1.png","<div class=""typography"">
	<p>Metal-Cor 3 is a next generation metal cored wire offering the operator appeal of a metal cored wire with deposition rates like that of solid wire and combining impressive low temperature impact values comparable to those of a Grade 3 wire. Metal-Cor 3 offers a wide range of operating parameters and is ideal for high productivity welding of mild and medium strength carbon steels. Metal-Cor 3 produces low fume levels, low spatter, and excellent edge wetting for outstanding operator appeal. For optimum performance Metal-Cor 3 is recommended for use on DC electrode positive polarity (DCEP).</p>
<p><strong>Packaging Data</strong></p>
<ul>
<li>722909 – 1.2mm – 15kg Spool</li>
<li>722910 – 1.6mm – 15kg Spool</li>
</ul>
</div>",,"<p><strong>Classifications</strong><br>AS/NZS ISO: 17632: B T 49 3 T15 0 M A U H5<br>
AS/NZS ISO: 17632: A T 42 3 M M21 3 H5<br>
AWS/ASME-SFA A5.18: E70C-6M H4</p> <p><strong>Typical Diffusible Hydrogen Levels to AS3752</strong><br>&lt;3.0 mls of hydrogen / 100gms of deposited weld metal.</p> <p><strong>Typical All Weld Metal Mechanical Properties</strong><br>Using Argon + 18-25% CO2<br>
Yield Stress: 485 MPa<br>
Tensile Strength: 553 MPa<br>
Elongation: 27% <br>
CVN Impact Values: 50J av @ -30°C</p> <p><strong>Recommended Shielding Gas</strong><br>AS 4882: ISO 14175 / AWS A5.32:<br>
SG-AC-18, or SG-AC-20   M21<br>
Ar+CO2 (18-25%)</p>",CIG-6286 CIGWELD Wire & Electrode Datasheets_Metal Cor 3-PDS_v3_WEB[4] (https://www.cigweld.com.au/wp-content/uploads/2023/12/CIG-6286-CIGWELD-Wire-Electrode-Datasheets_Metal-Cor-3-PDS_v3_WEB4.pdf);Metal Cor 3 Conformance Certificate 1.2mm (https://www.cigweld.com.au/wp-content/uploads/2023/12/Metal-Cor-3-Conformance-Certificate-1.2mm-.pdf);Metal Cor 3 Conformance Certificate 1.6mm (https://www.cigweld.com.au/wp-content/uploads/2023/12/Metal-Cor-3-Conformance-Certificate-1.6mm.pdf),https://www.cigweld.com.au/product/metal-cor-3/
BlueJet Type 41 Gouging Nozzle (Oxygen/Acetylene) Size 32GB,206089,,https://www.cigweld.com.au/wp-content/uploads/2023/12/206089.png,,,,,https://www.cigweld.com.au/product/bluejet-type-41-gouging-nozzle-oxygen-acetylene-size-32gb/
BlueJet Type 554 Brazing Tip (Oxygen/LPG) Size 15,207020,,https://www.cigweld.com.au/wp-content/uploads/2023/12/207020.png,,,,,https://www.cigweld.com.au/product/bluejet-type-554-brazing-tip-oxygen-lpg-size-15/
"BlueJet Argon Regulator, 45 L/min, Type 10 Side-Inlet (SI)",201019-1,,https://www.cigweld.com.au/wp-content/uploads/2023/12/201019-Argon-Side-Inlet_V2.png,,,,,https://www.cigweld.com.au/product/bluejet-argon-regulator-45-l-min-type-10-side-inlet-si/
BlueJet 413 Concentrated Flame,308413,,"https://www.cigweld.com.au/wp-content/uploads/2021/02/Bluejet-Torch-JET413-Concentrated-right-v1.jpg,https://www.cigweld.com.au/wp-content/uploads/2021/02/Bluejet-Torch-JET413-Concentrated-left-v1.jpg,https://www.cigweld.com.au/wp-content/uploads/2021/01/Pick-Mix-Chart.png","<div class=""typography"">
	<div class=""page"" title=""Page 6"">
<div class=""section"">
<div class=""layoutArea"">
<div class=""column"">
<p>The JET413 Concentrated Flame is part of our new CIGWELD <a href=""https://www.cigweld.com.au/bluejet-range/"">BlueJet Range</a>. Boasting ergonomic handling and high heat transfers, the CIGWELD BlueJet range offers a complete set of hand held fuel torches and fuel cells to suit soldering, brazing and heating applications!</p>
<p>The best of all, our BlueJet Range makes it really easy for you to pick the best torch and fuel cell for your application. We’ve set up an easy-to-use Pick &amp; Mix chart!</p>
<p><strong>STEP 1:</strong><br>
Use this Pick &amp; Mix chart to easily look up the application you need your torch for.</p>
<p><strong>STEP 2</strong><br>
Then match your application to the corresponding fuel and a flame type.</p>
</div>
<p>As you can see in the Pick &amp; Mix Chart above, our JET413 Concentrated Flame works well with BUTANE and is ideal for:</p>
<ul>
<li>Heat Shrink</li>
<li>Hospitality/Cooking</li>
<li>Lighting Bbq Grills &amp; Fire Pits</li>
<li>Soldering Circuitry</li>
</ul>
</div>
</div>
</div>
<h4>Other Torches available in the BlueJet range:</h4>
<p class=""xmsonormal"">308407 | <a href=""https://www.cigweld.com.au/product/jet407-super-cyclone-flame/"">JET407 Super Cyclone Flame</a><br>
308408 | <a href=""https://www.cigweld.com.au/product/jet408-cyclone-flame/"">JET408 Cyclone Flame</a><br>
308409 | <a href=""https://www.cigweld.com.au/product/jet409-triple-point-flame/"">JET409 Triple-Point Flame</a><br>
308410 | <a href=""https://www.cigweld.com.au/product/jet410-swivel-torch-concentrated-flame/"">JET410 Concentrated Flame Swivel Torch</a><br>
308411 | <a href=""https://www.cigweld.com.au/product/jet411-pencil-flame-torch/"">JET411 Pencil Flame</a></p>
<p><strong>BlueJet Fuel Cells:</strong></p>
<p>308979 | <a href=""https://www.cigweld.com.au/product/maxgas-single-fuel-cell/"">MAXGAS SINGLE FUEL CELL</a><br>
308980 | <a href=""https://www.cigweld.com.au/product/maxgas-fuel-cell-3-pack/"">MAXGAS FUEL CELL: 3-PACK</a><br>
308981 | <a href=""https://www.cigweld.com.au/product/propane-single-fuel-cell/"">PROPANE SINGLE FUEL CELL</a><br>
308984 | <a href=""https://www.cigweld.com.au/product/butane-fuel-cell/"">BUTANE FUEL CELL: 4-PACK</a></p>
<p><strong>Available Torch &amp; Fuel Combos:</strong></p>
<p>308400 | <a href=""https://www.cigweld.com.au/product/jet407-super-cyclone-flame/"">Jet407 Super Cyclone Flame</a> &amp; <a href=""https://www.cigweld.com.au/product/maxgas-single-fuel-cell/"">Maxgas Fuel Cell</a><br>
308401 | <a href=""https://www.cigweld.com.au/product/jet408-cyclone-flame/"">Jet408 Cyclone Flame</a> &amp; <a href=""https://www.cigweld.com.au/product/maxgas-single-fuel-cell/"">Maxgas Fuel Cell</a><br>
308402 | <a href=""https://www.cigweld.com.au/product/jet409-triple-point-flame/"">Jet409 Triple-point Flame</a> &amp; <a href=""https://www.cigweld.com.au/product/propane-single-fuel-cell/"">Propane Fuel Cell</a><br>
308403 | <a href=""https://www.cigweld.com.au/product/jet410-swivel-torch-concentrated-flame/"">Jet410 Swivel Torch, Concentrated Flame</a> &amp; <a href=""https://www.cigweld.com.au/product/maxgas-single-fuel-cell/"">Maxgas Fuel Cell</a><br>
308404 | <a href=""https://www.cigweld.com.au/product/jet411-pencil-flame-torch/"">Jet411 Pencil Flame Torch</a> &amp; <a href=""https://www.cigweld.com.au/product/propane-single-fuel-cell/"">Propane Fuel Cell</a><br>
308406 | <a href=""https://www.cigweld.com.au/product/jet413-concentrated-flame/"">Jet413 Concentrated Flame</a> &amp; <a href=""https://www.cigweld.com.au/product/butane-fuel-cell/"">Butane Fuel Cell</a></p>
<p> </p>
<p><em>All products in the BlueJet Range come with a 3 Years Warranty!</em></p>
<h4 style=""text-align: center;""><a href=""https://www.cigweld.com.au/wp-content/uploads/2021/02/CIG-4587-Bluejet-Brochure_v10.11.pdf"">Click here to download the full BlueJet Range brochure.</a></h4>
</div>",,"<p><strong>Max Temp</strong><br>Up to 1244°C</p> <p><strong>Heat consumption</strong><br>3801 (BTU/hr)^</p> <p><strong>Flame type</strong><br>Concentrated</p> <p><strong>Flame</strong><br>Adjustable</p> <p><strong>Connection</strong><br>Bayonet EN417</p> <p><strong>Warranty</strong><br>3 Years<br>
</p>",CIG-4587 Bluejet Brochure_v10.1[1] (https://www.cigweld.com.au/wp-content/uploads/2022/02/CIG-4587-Bluejet-Brochure_v10.11.pdf),https://www.cigweld.com.au/product/jet413-concentrated-flame/
